Common Name,Scientific Name,Count,State/Province,Date
Oie à tête barrée,Anser indicus,2,FR-IDF,2026-03-07
Bernache du Canada,Branta canadensis,4,FR-IDF,2026-02-28
Bernache du Canada,Branta canadensis,10,FR-IDF,2026-03-21
Bernache du Canada,Branta canadensis,1,FR-IDF,2025-11-04
Bernache du Canada,Branta canadensis,60,FR-IDF,2025-08-24
Bernache du Canada,Branta canadensis,50,FR-IDF,2026-03-07
Bernache du Canada,Branta canadensis,20,FR-IDF,2026-02-28
Bernache du Canada,Branta canadensis,5,FR-IDF,2025-09-28
Bernache du Canada,Branta canadensis,2,FR-IDF,2025-10-06
Bernache du Canada,Branta canadensis,2,FR-IDF,2026-01-04
Bernache du Canada,Branta canadensis,2,FR-IDF,2026-04-04
Bernache du Canada,Branta canadensis,4,FR-IDF,2026-04-06
Cygne tuberculé,Cygnus olor,3,FR-BFC,2025-08-11
Cygne tuberculé,Cygnus olor,5,FR-IDF,2025-08-23
Cygne tuberculé,Cygnus olor,2,FR-IDF,2026-02-28
Cygne tuberculé,Cygnus olor,1,FR-IDF,2025-08-23
Cygne tuberculé,Cygnus olor,3,FR-IDF,2025-08-30
Cygne tuberculé,Cygnus olor,2,FR-IDF,2025-08-24
Cygne tuberculé,Cygnus olor,7,FR-IDF,2025-08-15
Cygne tuberculé,Cygnus olor,1,FR-IDF,2025-08-16
Cygne tuberculé,Cygnus olor,5,FR-IDF,2025-08-17
Cygne tuberculé,Cygnus olor,8,FR-IDF,2025-08-23
Cygne tuberculé,Cygnus olor,10,FR-IDF,2025-08-24
Cygne tuberculé,Cygnus olor,16,FR-IDF,2025-08-25
Cygne tuberculé,Cygnus olor,28,FR-IDF,2025-08-30
Cygne tuberculé,Cygnus olor,25,FR-IDF,2025-08-31
Cygne tuberculé,Cygnus olor,35,FR-IDF,2025-09-18
Cygne tuberculé,Cygnus olor,35,FR-IDF,2025-09-27
Cygne tuberculé,Cygnus olor,30,FR-IDF,2025-09-28
